# Epicenters of shear wave splitting measurements at recording station BFO
longitude	latitude	moment_magnitude	hypocentral_depth_km
-70.04	-20.17	6.33796760275568	43.5
103.15	-5.77	6.33658871471579	45
126.1	0.44	6.33505700116813	33
-70.41	-22.87	6.3346911099851	27
121.56	0.54	6.33292836691695	103
144.9	6.51	6.32892251225248	10
-97.83	-36.26	6.32779986774937	10
28.02	-52.51	6.32772486978117	10
121.42	-9.14	6.32697381967233	33
150.41	-4.26	6.32425379247332	446.6
-72.08	-30.05	6.32265522846853	10.1
-68.33	-22.23	6.3219674184865	114
-69.44	-18.88	6.32143132321835	116
-70.6	-23.13	6.32012522995177	33
150.73	-3.58	6.31950855313802	10
126.38	1.85	6.31765060245463	52.7
-179.02	-17.34	6.31640531169788	553.8
127.69	2.56	6.31152857630432	66
-104.45	18.82	6.31073425576604	33
123.19	-0.39	6.30817768591327	26
113.93	-10.71	6.30737410600636	14
148.85	-5.48	6.30729362521234	189.6
127.72	4.54	6.30672963238555	89.5
-69.25	-19.45	6.30592201776258	33
-80.75	-44.87	6.30283237123604	10
153.06	-4.59	6.30184980359188	33
-26.58	-56.12	6.30102844231875	33
32.27	-48.21	6.29763628583173	10
-107.43	18.95	6.29605073252852	33
34.78	-46.05	6.29378253561717	10
155.04	-6.61	6.29183625266166	33
-105.36	18.43	6.29098594469484	0
-70.89	-24.87	6.2875595182599	58.2
-81	-2	6.28583097787438	33
147.73	-6.06	6.28487586343778	53.5
-25.74	-56.41	6.28461482992233	29.4
-63.22	-26.74	6.28374301458549	569.6
170.13	-21.49	6.27969850177352	119
-69.75	-18.57	6.277654859084	85
126.33	3.8	6.27738723035941	35
141.96	24.99	6.27711935402147	516.7
126.49	1.66	6.27694063200678	45.8
-80.88	-5.57	6.27586597693594	9.8
147.94	-3.08	6.27433668826991	33
126.53	5.7	6.27397567867875	22.5
120.74	14.01	6.27243634616197	172
-67.06	-32.72	6.27125366250337	172.3
146	11.14	6.27079749468473	13
110.18	-7.87	6.27070617481183	143.1
-67.77	-23.27	6.27052344861164	155
-69.22	-31.59	6.26979138841227	113
-23.84	-57.92	6.26905747254501	13
-71.39	-30.82	6.26573163266702	38.1
-69.57	-17.64	6.26377376890409	105.7
100.38	-2.95	6.2619908874196	26
-69.34	-18.04	6.26161414090632	118
146.18	20.82	6.25772395757841	40
-71.86	-30.52	6.25474750314644	33
-27.23	-55.62	6.25445782863043	10.6
-70.74	-20.62	6.25349014840275	20
-72.09	-32.33	6.25144743112824	10.6
-96.69	-36.3	6.25134979846685	13.8
-70.95	-19.77	6.2497831817012	6.2
142.59	24.4	6.2497831817012	43.2
146.15	-3.33	6.24948849500441	10
127.2	5.15	6.24731824552388	48
-177	-16.52	6.24692190096561	407.9
74.48	-26.46	6.24493199859931	10
142.97	30.74	6.24413219241499	8.7
123.16	-4.3	6.23989657333901	33
-72.65	-45.24	6.23918457312696	36.7
-65.31	-57.68	6.23816438301363	15
168.82	-18.77	6.23806216601182	111
-71.56	-30.99	6.23775529830466	76.1
-76.55	-11.61	6.23580421327005	90
138.86	28.35	6.23580421327005	512.4
145.63	18.73	6.23373613551573	177
127.42	-1.31	6.2316531793763	33
119.4	-9.59	6.23092058994434	30.5
41.39	-43.4	6.23060605471014	10
154.76	-5.99	6.23060605471014	186.3
128.28	2.52	6.22701723433244	39
179.81	-17.73	6.22637926935613	600
33.77	-46.36	6.22584655594991	10
-68.2	-22.15	6.22563319584106	115
-28.21	-55.85	6.22208986268586	77
-69.28	-19.53	6.22133263917102	91
118.34	-8.2	6.22100750757638	10
139.75	27.73	6.21883058262454	469
-81.93	-5.4	6.21751652747356	10
-29.53	-55.42	6.21498112880219	10
-70.55	-18.06	6.21409402077889	37
131.54	-6.32	6.21331556531388	33
-71.75	-15.99	6.21309276449134	123
78.93	-36.52	6.21219984272084	10
144.83	-3.56	6.21219984272084	10
-69.65	-17.5	6.21107980397549	151
150.37	-3.28	6.2099554155542	45
138.97	29.28	6.2099554155542	426.1
92.81	-16.2	6.20541368078388	10
-97.48	-36.73	6.20529921956294	10.3
155.65	-6.53	6.20438189711763	135.8
142.63	21.8	6.20196000578136	319
168.36	-17.62	6.1994008680267	114
-24.68	-57.07	6.19575597956786	10
144.88	6.46	6.19492655089249	10.6
125.75	5.81	6.19385663922889	105
-25.59	-59.72	6.19373751573221	26
-73.16	-35.8	6.19314116195886	14
80.67	-41.33	6.19134469504991	20
137.35	-0.9	6.19134469504991	33
-72.54	-28.72	6.19122453333223	10
-105.7	-4.37	6.18771797137101	10
-70.55	-23.2	6.18771797137101	19
119.48	16.09	6.18404524151449	33
54.1	-34.88	6.17919996365274	10
-26.07	-59.75	6.17907465326143	33
-74.31	-38.27	6.17857286863912	22.9
-24.83	-56.95	6.17655698822659	10
126.35	1.06	6.17592413627058	23
