id|Tag|Authors|Year|Title|Journal|No|Pages|DOI|Link|Comment
52|Hartog2000|Hartog, R., Schwartz, S.Y.|2000|Subduction-induced strain in the upper mantle east of the Mendocino triple junction, California|J. Geophys. Res.|105(B4)|7909-7930| | | 
53|Levin2000|Levin, V., Menke, W., Park, J.|2000|No regional anisotropic domains in the northeastern US Appalachians|J. Geophys. Res.|105(B8)|19029-19042| | | 
54|Polet2000|Polet, J., Silver, P.G., Beck, S., Wallace, T., Zandt, G., Ruppert, S., Kind, R., Rudloff, A.|2000|Shear wave anisotropy beneath the Andes from the BANJO, SEDA, and PISCO experiments|J. Geophys. Res.|105(B3)|6287-6304| | | 
55|Rau2000|Rau, R.J., Liang, W.T., et al.|2000|Shear wave anisotropy beneath the Taiwan orogen|Earth Planet. Sci. Lett.|177(3-4)|177-192| | | 
56|Rondenay2000|Rondenay, S., Bostock, M.G., Hear, T.M., White, D.J., Ellis, R.M.|2000|Lithospheric assembly and modification of the SE Canadian Shield: Abitibi-Grenville teleseismic experiment|J. Geophys. Res.|105(B6)|13735-13754| | | 
57|Savage2000|Savage, M.K., Sheehan, A.F.|2000|Seismic anisotropy and mantle flow from the Great Basin to the Great Plains, western United States|J. Geophys. Res.|105(B6)|13715-13734| | | 
58|Silver2001|Silver, P.G., Gao, S.S., Liu, K.H., the Kaapvaal seismic group|2001|Mantle deformation beneath southern Africa|Geophysical Research Letters|28(13)|2493-2496| | | 
59|Walker2001|Walker, K.T., Bokelmann, G.H.R., Klemperer, S.L.|2001|Shear-wave splitting to test mantle deformation models around Hawaii|Geophysical Research Letters|28(22)|4319-4322| | | 
60|Wiejacz2001|Wiejacz, P.|2001|Shear wave splitting across Tornquist-Teisseyre zone in Poland|Journal of the Balkan Geophysical Society|4(4)|91-100| | | 
61|Barruol2002|Barruol, G., Granet, M.|2002|A Tertiary asthenospheric flow beneath the southern French Massif Central indicated by upper mantle seismic anisotropy and related to the west Mediterranean extension|Earth Planet. Sci. Lett.|202(1)|31-47| | | 
62|Bjarnason2002|Bjarnason, I.T., Silver, P.G., Rumpker, G., Solomon, S.C.|2002|Shear wave splitting across the Iceland hot spot: Results from the ICEMELT experiment|J. Geophys. Res.|107|2382| | | 
63|Dricker2002|Dricker, I.G., Roecker, S.W., Vinnik, L.P., Rogozhin, E.A., Makeyeva, L.I.|2002|Upper-mantle anisotropy beneath the Altai-Sayan region of central Asia|Phys. Earth Planet. Int.|131|205-223| | | 
64|Helffrich2002|Helffrich, G., Wiens, D.A., Vera, E., Barrientos, S., Shore, P., Robertson, S., Adaros, R.|2002|A teleseismic shear-wave splitting study to investigate mantle flow around South America and implications for plate-driving forces|Geophys. J. Int.|149|F1-F7| | | 
65|Oreshin2002|Oreshin, S., Vinnik, L., Makeyeva, L., Kosarev, G., Kind, R., Wentzel, F.|2002|Combined analysis of SKS splitting and regional P traveltimes in Siberia|Geophys. J. Int.|151|393-402| | | 
66|Polet2002|Polet, J., Kanamori, H.|2002|Anisotropy beneath California: shear wave splitting measurements using a dense broadband array|Geophys. J. Int.|149|313-327|10.1046/j.1365-246X.2002.01630.x| | 
67|Davis2003|Davis, P.M.|2003|Azimuthal variation in seismic anisotropy of the southern California uppermost mantle|J. Geophys. Res.|108|2052| | | 
68|Gok2003|Gok, R., Ni, J.F., West, M., Sandvol, E., Wilson, D., Asre, R., Baldridge, W.S., Grand, S., Gao, W., Tillmann, F., Semken, S.|2003|Shear wave splitting and mantle flow beneath LA RISTRA|Geophysical Research Letters|30(12)|1614| | | 
72|Ayele2004|Ayele, A., Stuart, G., Kendall, J.M.|2004|Insights into rifting from shear wave splitting and receiver functions: an example from Ethiopia|Geophys. J. Int.|157(1)|354-362|10.1029/2004GL020471| | 
73|Barruol2004|Barruol, G., Deschamps, A., Coutant, O.|2004|Mapping upper mantle anisotropy beneath SE France by SKS splitting indicates Neogene asthenospheric flow induced by Apenninic slab roll-back and deflected by the deep Alpine roots|Tectonophysics|394(1-2)|125-138|10.1016/j.tecto.2004.08.002|http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6V72-4DK689T-2&_user=2402213&_coverDate=12%2F02%2F2004&_alid=593191425&_rdoc=1&_fmt=full&_orig=search&_cdi=5830&_sort=d&_docanchor=&view=c&_ct=1&_acct=C000041118&_version=1&_urlVersion=0&_userid=2402213&md5=eb8a05ddc03841d25f018afe8791fefe| 
74|Behn2004|Behn, M.D., Conrad, C.P., Silver, P.G.|2004|Detection of upper mantle flow associated with the African Superplume|Earth Planet. Sci. Lett.|224|259-274|10.1016/j.epsl.2004.05.026| | 
75|Civello2004|Civello, S., Margheriti, L.|2004|Toroidal mantle flow around the Calabrian slab (Italy) from SKS splitting|Geophys. Res. Lett.|31|L10601|10.1029/2004GL019607| | 
76|Currie2004|Currie, C.A., Cassidy, J.F., Hyndman, R.D., Bostock, M.G.|2004|Shear wave anisotropy beneath the Cascadia subduction zone and western North American craton|Geophys. J. Int.|157|341-353| | | 
77|Eaton2004|Eaton, D., Frederiksen, A.W., Miong, S.K.|2004|Shear-wave splitting observations in the lower Great Lakes region: Evidence for regional anisotropic domains and keel-modified asthenospheric flow|Geophys. Res. Lett.|31|L07610| | | 
78|Fouch2004|Fouch, M.J., Silver, P.G., Bell, D.R., Lee, J.N.|2004|Small-scale variations in seismic anisotropy beneath Kimberley, South Africa|Geophys. J. Int.|157|764-774|10.1111/J.1365-246X.2004.02234.x| | 
80|Harmon2004|Harmon, N., Forsyth, D.W., Fischer, K.M., Webb, S.C.|2004|Variations in shear-wave splitting in young Pacific seafloor|Geophys. Res. Lett.|31|L15609|10.1029/2004GL020495| | 
84|Diaz2006|Diaz, J., Gallart, J., Ruiz, M., Pulgar, J.A., Lopez-Frenandez, C., Gonzalez-Cortina, J.M.|2006|Probing seismic anisotropy in North Iberia from shear wave splitting|Phys. Earth Planet. Int.|158|210-225| | |cross correlation
