stacode;stalat;stalon;evdate;evlat;evlon;phase;phiSCerrmin;phiSC;phiSCerrmax;dtSCerrmin;dtSC;dtSCerrmax;SIerrmin;SI;SIerrmax;SIdiff;pair;ppCMBlat;ppCMBlon;misori;filterlow;filterhigh
EKSU;57.5726;15.3016;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.11288;0.18000;0.24712;NaN;same;50.8486;-5.9932;NaN;0.067;0.200
ERTU;66.5541;22.1895;01-Nov-2014;-19.7000;-177.7900;SKKS;75.84;81.39;87.98;1.30;1.56;1.84;1.42322;1.56211;1.70100;NaN;same;80.1726;87.2831;NaN;0.067;0.240
ERTU;66.5541;22.1895;01-Nov-2014;-19.7000;-177.7900;SKS;67.75;75.39;83.93;1.52;1.86;2.18;0.14825;0.39257;0.63689;NaN;same;73.4529;34.3071;NaN;0.067;0.240
ERTU;66.5541;22.1895;20-Oct-2015;-14.8400;167.3100;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.16592;-0.09404;-0.02217;NaN;same;74.0037;90.8628;NaN;0.067;0.200
ERTU;66.5541;22.1895;20-Oct-2015;-14.8400;167.3100;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.11046;0.18981;0.26915;NaN;same;72.5904;43.7305;NaN;0.067;0.200
FALU;60.4943;15.8318;20-Oct-2015;-14.8400;167.3100;SKKS;-27.30;-1.02;17.19;0.58;0.92;1.38;-0.95515;-0.87262;-0.79009;0.520118394;disc;72.5541;63.3340;NaN;0.067;0.240
FALU;60.4943;15.8318;20-Oct-2015;-14.8400;167.3100;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.26997;-0.15407;-0.03817;0.520118394;disc;66.6496;28.5227;NaN;0.067;0.240
FALU;60.4943;15.8318;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.23264;-0.16787;-0.10311;NaN;same;46.5745;-20.9387;NaN;0.067;0.200
FALU;60.4943;15.8318;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15472;-0.00700;0.14073;NaN;same;55.1213;-5.1781;NaN;0.067;0.200
FIA1;61.4447;26.0761;21-Jul-2014;-19.7800;-178.4400;SKKS;59.66;73.49;-92.02;0.70;0.90;1.20;0.92550;0.98700;1.04850;NaN;same;74.2080;71.0945;NaN;0.067;0.200
FIA1;61.4447;26.0761;21-Jul-2014;-19.7800;-178.4400;SKS;61.69;71.49;83.93;1.00;1.30;1.60;1.39155;1.47098;1.55041;NaN;same;67.2472;36.6034;NaN;0.067;0.200
FIA1;61.4447;26.0761;09-May-2017;-14.6000;167.3800;SKKS;-21.24;2.10;27.30;0.30;0.40;0.60;-0.45686;-0.40970;-0.36255;0.104282263;disc;69.0286;78.3927;NaN;0.067;0.260
FIA1;61.4447;26.0761;09-May-2017;-14.6000;167.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.25827;-0.17423;-0.09020;0.104282263;disc;66.6090;43.3388;NaN;0.067;0.260
FIA1;61.4447;26.0761;20-Oct-2015;-14.8400;167.3100;SKKS;15.17;24.28;33.37;0.70;1.00;1.30;-0.70937;-0.61697;-0.52458;0.568192364;disc;68.9599;78.3255;NaN;0.067;0.300
FIA1;61.4447;26.0761;20-Oct-2015;-14.8400;167.3100;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.04361;0.10003;0.15646;0.568192364;disc;66.5711;43.3130;NaN;0.067;0.300
FIA1;61.4447;26.0761;31-Aug-2016;-3.6900;152.7900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.28134;-0.19214;-0.10293;NaN;same;64.3394;83.1508;NaN;0.067;0.220
FIA1;61.4447;26.0761;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.26489;-0.19159;-0.11829;NaN;same;65.7437;52.4470;NaN;0.067;0.220
FIA1;61.4447;26.0761;21-Sep-2013;-7.2600;119.9600;SKKS;47.53;64.08;75.84;0.60;1.00;1.50;-0.78105;-0.68474;-0.58843;NaN;same;51.0491;73.6687;NaN;0.067;0.260
FIA1;61.4447;26.0761;21-Sep-2013;-7.2600;119.9600;SKS;27.30;40.08;55.62;0.70;0.90;1.20;-1.22619;-1.10015;-0.97411;NaN;same;57.6872;56.6206;NaN;0.067;0.260
FIA1;61.4447;26.0761;02-Sep-2011;-28.4000;-63.0700;SKKS;15.17;32.81;49.55;0.70;1.00;1.30;-0.79030;-0.70380;-0.61730;0.380197088;disc;48.4532;-10.8199;NaN;0.067;0.200
FIA1;61.4447;26.0761;02-Sep-2011;-28.4000;-63.0700;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.23710;-0.17992;-0.12275;0.380197088;disc;56.7950;5.8532;NaN;0.067;0.200
FIA1;61.4447;26.0761;04-Aug-2016;-22.3300;-66.0000;SKKS;31.35;50.65;65.73;0.70;1.20;1.90;-1.02306;-0.85234;-0.68162;0.798188971;disc;49.4880;-14.5519;NaN;0.067;0.220
FIA1;61.4447;26.0761;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.11657;0.18099;0.24541;0.798188971;disc;57.2823;3.0600;NaN;0.067;0.220
FIA1;61.4447;26.0761;25-Jul-2016;-26.1100;-70.6500;SKKS;27.30;52.46;67.75;0.40;0.70;1.10;-0.61771;-0.55178;-0.48585;0.537809235;disc;50.7407;-14.1775;NaN;0.067;0.300
FIA1;61.4447;26.0761;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.05196;0.09409;0.13621;0.537809235;disc;58.1798;4.7818;NaN;0.067;0.300
FIA1;61.4447;26.0761;20-Jun-2011;-21.7000;-68.2300;SKKS;55.62;62.90;69.78;0.90;1.30;1.70;-0.76774;-0.59038;-0.41303;0.184655781;disc;50.2410;-15.4846;NaN;0.089;0.280
FIA1;61.4447;26.0761;20-Jun-2011;-21.7000;-68.2300;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22837;-0.12663;-0.02488;0.184655781;disc;57.7426;2.7699;NaN;0.089;0.280
FIA1;61.4447;26.0761;02-Aug-2012;-8.4100;-74.2600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.27142;-0.18592;-0.10042;NaN;same;53.2341;-23.2244;NaN;0.067;0.200
FIA1;61.4447;26.0761;02-Aug-2012;-8.4100;-74.2600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15114;-0.04667;0.05780;NaN;same;59.3486;-3.6450;NaN;0.067;0.200
FIBU;59.9013;17.3518;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.12111;-0.04264;0.03583;NaN;same;45.2387;-19.6312;NaN;0.067;0.200
FIBU;59.9013;17.3518;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.30030;-0.15277;-0.00525;NaN;same;53.7415;-4.9263;NaN;0.067;0.200
FINU;59.4034;12.4789;31-Aug-2016;-3.6900;152.7900;SKKS;-21.24;-8.59;3.03;0.92;1.14;1.42;-1.13873;-1.00606;-0.87338;0.926525103;disc;68.7002;65.3687;NaN;0.067;0.200
FINU;59.4034;12.4789;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.05315;0.12239;0.19163;0.926525103;disc;65.8800;31.6525;NaN;0.067;0.200
FKPU;58.1591;13.7241;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00870;0.04271;0.07671;NaN;same;43.6733;-20.9159;NaN;0.067;0.200
FKPU;58.1591;13.7241;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.04061;0.12285;0.20509;NaN;same;52.2303;-6.2691;NaN;0.067;0.200
FLYU;60.1282;17.8846;24-Sep-2014;-23.8500;-66.5500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.02259;0.07574;0.17407;NaN;same;45.7056;-18.9700;NaN;0.067;0.200
FLYU;60.1282;17.8846;24-Sep-2014;-23.8500;-66.5500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.03243;0.06508;0.16259;NaN;same;54.2631;-3.8592;NaN;0.067;0.200
FLYU;60.1282;17.8846;25-Jul-2016;-26.1100;-70.6500;SKKS;-92.02;-78.92;-53.60;0.46;0.76;1.28;0.56653;0.64424;0.72195;NaN;same;46.8924;-19.1254;NaN;0.067;0.200
FLYU;60.1282;17.8846;25-Jul-2016;-26.1100;-70.6500;SKS;-85.96;-56.92;-37.42;0.52;0.78;1.14;1.14490;1.26758;1.39027;NaN;same;55.1859;-2.8945;NaN;0.067;0.200
FORU;60.3870;18.1801;28-Sep-2015;-23.7800;-66.5800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20228;-0.11503;-0.02777;NaN;same;46.0621;-18.9659;NaN;0.067;0.200
FORU;60.3870;18.1801;28-Sep-2015;-23.7800;-66.5800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.16402;-0.01459;0.13484;NaN;same;54.6046;-3.7116;NaN;0.067;0.200
FORU;60.3870;18.1801;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.24345;-0.17633;-0.10922;NaN;same;45.9556;-19.3713;NaN;0.067;0.200
FORU;60.3870;18.1801;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.17916;-0.09240;-0.00563;NaN;same;54.4374;-4.3257;NaN;0.067;0.200
